business,title,where,when,apply,remote,requisits,requisits_compleixes,requisits_no_compleixes,numero_requisits,numero_requisits_compleixes,numero_requisits_no_compleixes
Huxley,Data Scientist,"Madrid, Comunidad de Madrid, España",hace 2 semanas,89 solicitudes,Híbrido,"['Analítica de datos', 'Análisis de datos estadísticos', 'Análisis predictivo', 'Aprendizaje profundo', 'Ciencia de datos', 'Ingeniería de datos', 'Procesamiento de lenguaje natural', 'Visualización de datos', 'Competencias transversales\nAñadir', 'PySpark\nAñadir']","['Analítica de datos', 'Análisis de datos estadísticos', 'Análisis predictivo', 'Aprendizaje profundo', 'Ciencia de datos', 'Ingeniería de datos', 'Procesamiento de lenguaje natural', 'Visualización de datos']","['Competencias transversales\nAñadir', 'PySpark\nAñadir']",10.0,8.0,2.0
SoftwareOne,Data Scientist,"Madrid, Comunidad de Madrid, España",hace 3 semanas,Más de 100 solicitudes,Jornada completa,"['Analítica de datos', 'Análisis predictivo', 'Ciencia de datos', 'Comunicación', 'Procesamiento de lenguaje natural', 'Reconocimiento de patrones', 'TensorFlow', 'Kubeflow\nAñadir', 'MLOps\nAñadir', 'MLflow\nAñadir']","['Analítica de datos', 'Análisis predictivo', 'Ciencia de datos', 'Comunicación', 'Procesamiento de lenguaje natural', 'Reconocimiento de patrones', 'TensorFlow']","['Kubeflow\nAñadir', 'MLOps\nAñadir', 'MLflow\nAñadir']",10.0,7.0,3.0
TransPerfect,Product Manager - Artificial Intelligence,"Barcelona, Cataluña, España",hace 1 mes,Más de 100 solicitudes,Jornada completa,"['Ciclo de vida de desarrollo de software (SDLC)', 'Definición de requisitos\nAñadir', 'Desarrollo de productos\nAñadir', 'Establishing Priorities\nAñadir', 'Gestión de productos\nAñadir', 'Gestión de productos técnicos\nAñadir', 'Historias de usuarios\nAñadir', 'Metodologías ágiles\nAñadir', 'Pruebas de validación\nAñadir', 'Requisitos de productos\nAñadir']",['Ciclo de vida de desarrollo de software (SDLC)'],"['Definición de requisitos\nAñadir', 'Desarrollo de productos\nAñadir', 'Establishing Priorities\nAñadir', 'Gestión de productos\nAñadir', 'Gestión de productos técnicos\nAñadir', 'Historias de usuarios\nAñadir', 'Metodologías ágiles\nAñadir', 'Pruebas de validación\nAñadir', 'Requisitos de productos\nAñadir']",10.0,1.0,9.0
Gauss & Neumann,Data Scientist (Andorra),"Barcelona, Cataluña, España",hace 2 semanas,Más de 100 solicitudes,Híbrido,"['C++', 'Lenguajes de programación', 'Programación', 'Python', 'SQL', 'Analítica\nAñadir', 'Análisis cuantitativo\nAñadir', 'Modelado\nAñadir', 'Modelado de datos\nAñadir', 'Modelos predictivos\nAñadir']","['C++', 'Lenguajes de programación', 'Programación', 'Python', 'SQL']","['Analítica\nAñadir', 'Análisis cuantitativo\nAñadir', 'Modelado\nAñadir', 'Modelado de datos\nAñadir', 'Modelos predictivos\nAñadir']",10.0,5.0,5.0
eB4IT,Data Engineer,"Vallés Oriental, Cataluña, España",hace 2 semanas,66 solicitudes,Híbrido,"['Ingeniería de datos', 'SQL', 'Extraer, transformar y cargar (ETL)\nAñadir']","['Ingeniería de datos', 'SQL']","['Extraer, transformar y cargar (ETL)\nAñadir']",3.0,2.0,1.0
Signify Technology,Python Developer,España,hace 3 semanas,Más de 100 solicitudes,En remoto,"['Kubernetes', 'Node.js', 'TypeScript', 'Apache Kafka\nAñadir', 'Google Cloud\nAñadir']","['Kubernetes', 'Node.js', 'TypeScript']","['Apache Kafka\nAñadir', 'Google Cloud\nAñadir']",5.0,3.0,2.0
Cedra Trust,Junior AI Consultant,"Barcelona, Cataluña, España",hace 6 días,Más de 100 solicitudes,Híbrido,"['Analítica de datos', 'Comunicación', 'Inteligencia artificial', 'Procesamiento de lenguaje natural', 'Software de gestión de proyectos', 'Aptitudes de organización\nAñadir', 'High Proficiency\nAñadir', 'Presentaciones\nAñadir', 'Prompt Engineering\nAñadir', 'Training Workshops\nAñadir']","['Analítica de datos', 'Comunicación', 'Inteligencia artificial', 'Procesamiento de lenguaje natural', 'Software de gestión de proyectos']","['Aptitudes de organización\nAñadir', 'High Proficiency\nAñadir', 'Presentaciones\nAñadir', 'Prompt Engineering\nAñadir', 'Training Workshops\nAñadir']",10.0,5.0,5.0
Palatin,Python Engineer,Barcelona y alrededores,hace 3 semanas,Más de 100 solicitudes,Híbrido,"['Desarrollo de software', 'Django', 'Inglés', 'Linux', 'Programación orientada a objetos (POO)', 'Python', 'Amazon Web Services (AWS)\nAñadir', 'FastAPI\nAñadir', 'Infraestructura en la nube\nAñadir', 'Microsoft Azure\nAñadir']","['Desarrollo de software', 'Django', 'Inglés', 'Linux', 'Programación orientada a objetos (POO)', 'Python']","['Amazon Web Services (AWS)\nAñadir', 'FastAPI\nAñadir', 'Infraestructura en la nube\nAñadir', 'Microsoft Azure\nAñadir']",10.0,6.0,4.0
Decskill España,🌿Python Engineer | Green energy sector | Remoto 🌿,España,hace 4 semanas,Más de 100 solicitudes,En remoto,['Python'],['Python'],[],1.0,1.0,0.0
AstraZeneca,Statistical Science Director,"Barcelona, Cataluña, España",hace 1 día,1 solicitud,Jornada completa,"['Comunicación', 'Matemáticas', 'Adquisición indirecta\nAñadir', 'Análisis estadístico\nAñadir', 'Bioestadística\nAñadir', 'Conceptos de estadística\nAñadir', 'Evaluación clínica\nAñadir', 'Evaluación de tecnologías sanitarias\nAñadir', 'Evaluación tecnológica\nAñadir', 'Reflexión estratégica\nAñadir']","['Comunicación', 'Matemáticas']","['Adquisición indirecta\nAñadir', 'Análisis estadístico\nAñadir', 'Bioestadística\nAñadir', 'Conceptos de estadística\nAñadir', 'Evaluación clínica\nAñadir', 'Evaluación de tecnologías sanitarias\nAñadir', 'Evaluación tecnológica\nAñadir', 'Reflexión estratégica\nAñadir']",10.0,2.0,8.0
Microsoft,Data Annotation Specialist,"Melilla, Melilla, España",hace 2 semanas,21 solicitudes,En remoto,"['Capacidad de análisis', 'Comunicación', 'Inglés', 'Anotación\nAñadir', 'Anotación de datos\nAñadir', 'Control de calidad\nAñadir', 'Holandés\nAñadir', 'Idiomas europeos\nAñadir', 'Medical Scribing\nAñadir', 'Unión Europea\nAñadir']","['Capacidad de análisis', 'Comunicación', 'Inglés']","['Anotación\nAñadir', 'Anotación de datos\nAñadir', 'Control de calidad\nAñadir', 'Holandés\nAñadir', 'Idiomas europeos\nAñadir', 'Medical Scribing\nAñadir', 'Unión Europea\nAñadir']",10.0,3.0,7.0
Microsoft,Data Annotation Specialist,"Comunidad Foral de Navarra, España",hace 2 semanas,17 solicitudes,En remoto,"['Capacidad de análisis', 'Comunicación', 'Inglés', 'Anotación\nAñadir', 'Anotación de datos\nAñadir', 'Control de calidad\nAñadir', 'Holandés\nAñadir', 'Idiomas europeos\nAñadir', 'Medical Scribing\nAñadir', 'Unión Europea\nAñadir']","['Capacidad de análisis', 'Comunicación', 'Inglés']","['Anotación\nAñadir', 'Anotación de datos\nAñadir', 'Control de calidad\nAñadir', 'Holandés\nAñadir', 'Idiomas europeos\nAñadir', 'Medical Scribing\nAñadir', 'Unión Europea\nAñadir']",10.0,3.0,7.0
The Workshop,Data Scientist,"Málaga, Andalucía, España",hace 1 semana,48 solicitudes,Híbrido,"['Big data', 'Ciencia de datos', 'Minería de datos', 'Análisis estadístico\nAñadir', 'Base de datos orientada a grafos\nAñadir', 'Datos no estructurados\nAñadir', 'Despliegue de producción\nAñadir', 'Edición de imágenes\nAñadir', 'Manipulación de datos\nAñadir', 'Multi-Channel Analytics\nAñadir']","['Big data', 'Ciencia de datos', 'Minería de datos']","['Análisis estadístico\nAñadir', 'Base de datos orientada a grafos\nAñadir', 'Datos no estructurados\nAñadir', 'Despliegue de producción\nAñadir', 'Edición de imágenes\nAñadir', 'Manipulación de datos\nAñadir', 'Multi-Channel Analytics\nAñadir']",10.0,3.0,7.0
Inetum,Data Scientist & AI Engineer,"Madrid, Comunidad de Madrid, España",Publicado de nuevo hace 3 días,Más de 100 solicitudes,Híbrido,"['Inteligencia artificial', 'MLOps\nAñadir']",['Inteligencia artificial'],['MLOps\nAñadir'],2.0,1.0,1.0
Eugen,DATA ENGINEER 100% REMOTO (2 Posiciones),España,hace 2 semanas,Más de 100 solicitudes,En remoto,"['Ingeniería de datos', 'Inglés', 'Programación', 'Programación orientada a objetos (POO)', 'AWS Lambda\nAñadir', 'Amazon Web Services (AWS)\nAñadir', 'Aprendizaje\nAñadir', 'Aseguradoras tecnológicas\nAñadir', 'Mejora continua\nAñadir', 'Recursos humanos (RR. HH.)\nAñadir']","['Ingeniería de datos', 'Inglés', 'Programación', 'Programación orientada a objetos (POO)']","['AWS Lambda\nAñadir', 'Amazon Web Services (AWS)\nAñadir', 'Aprendizaje\nAñadir', 'Aseguradoras tecnológicas\nAñadir', 'Mejora continua\nAñadir', 'Recursos humanos (RR. HH.)\nAñadir']",10.0,4.0,6.0
excelia,ML Engineer,España,hace 3 semanas,Más de 100 solicitudes,En remoto,"['Aprendizaje automático', 'Ingeniería', 'Integración continua y entrega continua (CI/CD)', 'Aprendizaje\nAñadir', 'MLOps\nAñadir']","['Aprendizaje automático', 'Ingeniería', 'Integración continua y entrega continua (CI/CD)']","['Aprendizaje\nAñadir', 'MLOps\nAñadir']",5.0,3.0,2.0
BCG X,"AI Engineer, Spain - BCG X","Madrid, Comunidad de Madrid, España",Publicado de nuevo hace 2 semanas,Más de 100 solicitudes,Jornada completa,"['Algoritmos', 'Ciencia de datos', 'Ciencias de la computación', 'Desarrollo de software', 'Español', 'Inglés', 'Inteligencia artificial', 'Procesamiento de lenguaje natural', 'Redes neuronales convolucionales (CNN)', 'Resolución de problemas']","['Algoritmos', 'Ciencia de datos', 'Ciencias de la computación', 'Desarrollo de software', 'Español', 'Inglés', 'Inteligencia artificial', 'Procesamiento de lenguaje natural', 'Redes neuronales convolucionales (CNN)', 'Resolución de problemas']",[],10.0,10.0,0.0
Qustodio,Data Analyst,"Barcelona, Cataluña, España",hace 2 semanas,Más de 100 solicitudes,Híbrido,"['Analítica de datos', 'Análisis de datos estadísticos', 'SQL', 'B2C\nAñadir', 'Looker (software)\nAñadir', 'Pruebas A/B\nAñadir', 'Tableau\nAñadir']","['Analítica de datos', 'Análisis de datos estadísticos', 'SQL']","['B2C\nAñadir', 'Looker (software)\nAñadir', 'Pruebas A/B\nAñadir', 'Tableau\nAñadir']",7.0,3.0,4.0
Mondragon Unibertsitatea,Formador/a en IA Generativa y Análisis de Datos para empresas,"País Vasco / Euskadi, España",Publicado de nuevo hace 1 día,77 solicitudes,Jornada completa,"['Big data', 'Ciencia de datos', 'Física', 'Inteligencia artificial', 'Matemáticas', 'Marketing\nAñadir']","['Big data', 'Ciencia de datos', 'Física', 'Inteligencia artificial', 'Matemáticas']",['Marketing\nAñadir'],6.0,5.0,1.0
The Workshop,Data Scientist,"Málaga, Andalucía, España",hace 1 semana,82 solicitudes,Híbrido,"['Big data', 'Ciencia de datos', 'Inteligencia artificial', 'Análisis estadístico\nAñadir', 'Análisis web\nAñadir', 'Base de datos orientada a grafos\nAñadir', 'Bases de datos\nAñadir', 'Datos no estructurados\nAñadir', 'Despliegue de producción\nAñadir', 'Manipulación de datos\nAñadir']","['Big data', 'Ciencia de datos', 'Inteligencia artificial']","['Análisis estadístico\nAñadir', 'Análisis web\nAñadir', 'Base de datos orientada a grafos\nAñadir', 'Bases de datos\nAñadir', 'Datos no estructurados\nAñadir', 'Despliegue de producción\nAñadir', 'Manipulación de datos\nAñadir']",10.0,3.0,7.0
Factorial,Data Engineer,"Barcelona, Cataluña, España",hace 2 semanas,88 solicitudes,Jornada completa,"['Administración de bases de datos', 'Ciencias de la computación', 'Comunicación', 'Ingeniería de datos', 'Resolución de problemas', 'Sistema de gestión de bases de datos (SGBD)', 'Bases de datos\nAñadir', 'Comunicación escrita\nAñadir', 'Extraer, transformar y cargar (ETL)\nAñadir', 'Manipulación de datos\nAñadir']","['Administración de bases de datos', 'Ciencias de la computación', 'Comunicación', 'Ingeniería de datos', 'Resolución de problemas', 'Sistema de gestión de bases de datos (SGBD)']","['Bases de datos\nAñadir', 'Comunicación escrita\nAñadir', 'Extraer, transformar y cargar (ETL)\nAñadir', 'Manipulación de datos\nAñadir']",10.0,6.0,4.0
Microomics Systems S.L.,Statistical Analyst NGS,"Barcelona, Cataluña, España",hace 2 semanas,Más de 100 solicitudes,Jornada completa,"['Bash', 'Capacidad de análisis', 'Estadística', 'Linux', 'Modelos estadísticos', 'Python', 'R (Lenguaje de programación)', 'Next-Generation Sequencing (NGS)\nAñadir', 'Regresión logística\nAñadir', 'Secuenciación\nAñadir']","['Bash', 'Capacidad de análisis', 'Estadística', 'Linux', 'Modelos estadísticos', 'Python', 'R (Lenguaje de programación)']","['Next-Generation Sequencing (NGS)\nAñadir', 'Regresión logística\nAñadir', 'Secuenciación\nAñadir']",10.0,7.0,3.0
Métrica Consulting,Ingeniero de datos,España,hace 3 días,Más de 100 solicitudes,En remoto,"['Java', 'Linux', 'Python', 'Amazon Web Services (AWS)\nAñadir', 'Apache Spark\nAñadir', 'Microsoft Azure\nAñadir']","['Java', 'Linux', 'Python']","['Amazon Web Services (AWS)\nAñadir', 'Apache Spark\nAñadir', 'Microsoft Azure\nAñadir']",6.0,3.0,3.0
BioBam Bioinformatics,Bioinformatician,"Valencia/València, Comunidad Valenciana / Comunitat Valenciana, España",hace 4 meses,Más de 100 solicitudes,Jornada completa,"['Programación', 'Bioinformática\nAñadir', 'Biología informática\nAñadir', 'Genómica\nAñadir']",['Programación'],"['Bioinformática\nAñadir', 'Biología informática\nAñadir', 'Genómica\nAñadir']",4.0,1.0,3.0
knowmad mood,Data Scientist Senior / 100% Remoto,España,hace 3 semanas,Más de 100 solicitudes,En remoto,"['TensorFlow', 'Base de datos SQL\nAñadir']",['TensorFlow'],['Base de datos SQL\nAñadir'],2.0,1.0,1.0
Shalion,Data Engineer,Barcelona y alrededores,hace 1 semana,42 solicitudes,Híbrido,"['Analítica empresarial', 'Análisis de datos', 'Desarrollo de software', 'Ingeniería', 'Ingeniería de datos', 'Análisis de negocio\nAñadir', 'Modelado\nAñadir', 'Modelado de datos\nAñadir', 'Modelo de datos\nAñadir', 'Necesidades empresariales\nAñadir']","['Analítica empresarial', 'Análisis de datos', 'Desarrollo de software', 'Ingeniería', 'Ingeniería de datos']","['Análisis de negocio\nAñadir', 'Modelado\nAñadir', 'Modelado de datos\nAñadir', 'Modelo de datos\nAñadir', 'Necesidades empresariales\nAñadir']",10.0,5.0,5.0
Boycor ,Data Engineer,España,hace 4 semanas,Más de 100 solicitudes,En remoto,"['Ingeniería de datos', 'Inglés', 'Apache Spark\nAñadir', 'Scala\nAñadir']","['Ingeniería de datos', 'Inglés']","['Apache Spark\nAñadir', 'Scala\nAñadir']",4.0,2.0,2.0
Eurecat - Centro Tecnológico,Data Scientist & Machine Learning Engineer DS&BDA,"Barcelona, Cataluña, España",hace 8 meses,Más de 100 solicitudes,Híbrido,"['Análisis predictivo', 'Ciencia de datos', 'Ciencias de la computación', 'NumPy', 'Pandas (Software)', 'PyTorch', 'SciPy', 'Scikit-learn', 'TensorFlow', 'Visualización de datos']","['Análisis predictivo', 'Ciencia de datos', 'Ciencias de la computación', 'NumPy', 'Pandas (Software)', 'PyTorch', 'SciPy', 'Scikit-learn', 'TensorFlow', 'Visualización de datos']",[],10.0,10.0,0.0
excelia,Científico de datos,España,hace 3 semanas,Más de 100 solicitudes,En remoto,"['Python', 'IA generativa\nAñadir', 'Large Language Models (LLM)\nAñadir']",['Python'],"['IA generativa\nAñadir', 'Large Language Models (LLM)\nAñadir']",3.0,1.0,2.0
Babel Profiles,Data Scientist - English,"Barcelona, Cataluña, España",hace 3 días,47 solicitudes,Híbrido,"['Analítica de datos', 'Ciencia de datos', 'Ciencias de la computación', 'Modelos estadísticos', 'Pandas (Software)', 'Procesamiento de lenguaje natural', 'Edición de imágenes\nAñadir', 'Manipulación de datos\nAñadir', 'PySpark\nAñadir', 'Tecnología en publicidad\nAñadir']","['Analítica de datos', 'Ciencia de datos', 'Ciencias de la computación', 'Modelos estadísticos', 'Pandas (Software)', 'Procesamiento de lenguaje natural']","['Edición de imágenes\nAñadir', 'Manipulación de datos\nAñadir', 'PySpark\nAñadir', 'Tecnología en publicidad\nAñadir']",10.0,6.0,4.0
Omnios,Data Scientist,"Barcelona, Cataluña, España",hace 1 semana,74 solicitudes,Híbrido,"['Analítica de datos', 'Análisis de datos', 'Análisis exploratorio de datos', 'Ciencia de datos', 'Ciencias de la computación', 'Comunicación', 'Procesamiento de lenguaje natural', 'Análisis cuantitativo\nAñadir', 'Atención al detalle\nAñadir', 'Datasets\nAñadir']","['Analítica de datos', 'Análisis de datos', 'Análisis exploratorio de datos', 'Ciencia de datos', 'Ciencias de la computación', 'Comunicación', 'Procesamiento de lenguaje natural']","['Análisis cuantitativo\nAñadir', 'Atención al detalle\nAñadir', 'Datasets\nAñadir']",10.0,7.0,3.0
Seedtag,Data Scientist,España,hace 3 días,Más de 100 solicitudes,En remoto,"['Análisis predictivo', 'Aprendizaje automático', 'Ciencia de datos', 'Procesamiento de lenguaje natural', 'Python', 'Análisis cuantitativo\nAñadir', 'Análisis de circuitos\nAñadir', 'Bibliotecas\nAñadir', 'Exploración minera\nAñadir', 'Redis\nAñadir']","['Análisis predictivo', 'Aprendizaje automático', 'Ciencia de datos', 'Procesamiento de lenguaje natural', 'Python']","['Análisis cuantitativo\nAñadir', 'Análisis de circuitos\nAñadir', 'Bibliotecas\nAñadir', 'Exploración minera\nAñadir', 'Redis\nAñadir']",10.0,5.0,5.0
Edpuzzle,Data Scientist,España,Publicado de nuevo hace 1 semana,Más de 100 solicitudes,En remoto,"['Análisis de datos', 'Análisis de datos estadísticos', 'Aprendizaje automático', 'Ciencia de datos', 'Minería de datos', 'Python', 'SQL', 'Bases de datos\nAñadir', 'Inteligencia empresarial\nAñadir', 'Tableau\nAñadir']","['Análisis de datos', 'Análisis de datos estadísticos', 'Aprendizaje automático', 'Ciencia de datos', 'Minería de datos', 'Python', 'SQL']","['Bases de datos\nAñadir', 'Inteligencia empresarial\nAñadir', 'Tableau\nAñadir']",10.0,7.0,3.0
Urbantz,Data Scientist,Unión Europea,Publicado de nuevo hace 2 semanas,Más de 100 solicitudes,En remoto,"['Algoritmos', 'Aprendizaje automático', 'Ciencia de datos', 'Ciencias de la computación', 'Matemáticas', 'Matemáticas aplicadas', 'Python', 'SQL', 'Diseño de algoritmos\nAñadir', 'Planificación de rutas\nAñadir']","['Algoritmos', 'Aprendizaje automático', 'Ciencia de datos', 'Ciencias de la computación', 'Matemáticas', 'Matemáticas aplicadas', 'Python', 'SQL']","['Diseño de algoritmos\nAñadir', 'Planificación de rutas\nAñadir']",10.0,8.0,2.0
Sapientis,Ref 20240602 Data Scientist,"Barcelona, Cataluña, España",hace 4 semanas,33 solicitudes,Híbrido,NA,NA,NA,2.0,2.0,2.0
urbanData Analytics by Accumin,Junior Data Scientist,"Madrid, Comunidad de Madrid, España",hace 3 días,Más de 100 solicitudes,Híbrido,"['Ciencia de datos', 'Git', 'SQL', 'Boot Camp\nAñadir', 'Google BigQuery\nAñadir', 'Google Cloud\nAñadir', 'Modelado\nAñadir', 'Sector inmobiliario\nAñadir', 'Tableau\nAñadir', 'Valoración\nAñadir']","['Ciencia de datos', 'Git', 'SQL']","['Boot Camp\nAñadir', 'Google BigQuery\nAñadir', 'Google Cloud\nAñadir', 'Modelado\nAñadir', 'Sector inmobiliario\nAñadir', 'Tableau\nAñadir', 'Valoración\nAñadir']",10.0,3.0,7.0
